"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League"
"Chimezie Metu",1910860,"F","PF",25,"SAC",66,0,10.4,2,3.3,0.589,0.1,0.6,0.237,1.8,2.7,0.663,0.8,1.1,0.74,0.7,2.3,3,0.6,0.3,0.3,0.5,1.2,4.9,"NBA"
"Davon Reed",1902133,"G","SG",27,"DEN/LAL",43,1,8,0.7,2,0.333,0.4,1.1,0.37,0.3,0.9,0.289,0.4,0.6,0.667,0.2,1.1,1.4,0.5,0.3,0.1,0.5,0.9,2.1,"NBA"
"KZ Okpala",1902133,"F","PF",23,"SAC",35,3,7.1,0.5,1.1,0.421,0.2,0.6,0.333,0.3,0.5,0.529,0.2,0.2,0.875,0.2,0.8,1,0.4,0.2,0.2,0.2,1.1,1.3,"NBA"
"Wenyen Gabriel",1878720,"C","C",25,"LAL",68,2,15.1,2.3,3.8,0.596,0.1,0.5,0.278,2.1,3.3,0.647,0.8,1.2,0.619,1.7,2.5,4.2,0.5,0.4,0.5,0.7,2.1,5.5,"NBA"
"Thanasis Antetokounmpo",1878720,"F","PF",30,"MIL",37,0,5.6,0.5,1.2,0.435,0,0.2,0,0.5,1,0.526,0.3,0.6,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4,"NBA"
"Moritz Wagner",1878720,"C","C",25,"ORL",57,18,19.5,3.5,6.9,0.5,0.9,2.9,0.313,2.6,4.1,0.631,2.7,3.2,0.841,1.2,3.3,4.5,1.5,0.6,0.2,1.2,2.4,10.5,"NBA"
"Keita Bates-Diop",1878720,"F","PF",27,"SAS",67,42,21.7,3.5,6.9,0.508,0.8,2.1,0.394,2.7,4.8,0.557,1.8,2.2,0.793,1,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7,"NBA"
"Oshae Brissett",1846738,"F","PF",24,"IND",65,2,16.7,1.9,4.9,0.386,0.7,2.4,0.31,1.2,2.5,0.457,1.6,2.2,0.717,1,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1,"NBA"
"Nathan Knight",1836090,"C","C",25,"MIN",38,0,7.7,1.2,2.1,0.568,0.2,0.6,0.364,1,1.6,0.644,1,1.5,0.684,0.6,0.9,1.5,0.3,0.3,0.2,0.6,1.1,3.7,"NBA"
"Justin Jackson",1836090,"F","SF",27,"BOS",23,0,4.7,0.3,1.2,0.259,0.2,0.9,0.25,0.1,0.3,0.286,0,0.1,0.5,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,0.9,"NBA"
"Isaiah Joe",1836090,"G","SG",23,"OKC",73,10,19.1,3.1,7,0.441,2.2,5.4,0.409,0.9,1.6,0.553,1.1,1.4,0.82,0.4,2,2.4,1.2,0.7,0.1,0.5,1.4,9.5,"NBA"
"Ryan Arcidiacono",1836090,"G","PG",28,"NYK/POR",20,4,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0,0,NA,0,0.8,0.8,1.2,0.3,0,0.4,0.9,1.3,"NBA"
"Anthony Gill",1836090,"F","PF",30,"WAS",59,8,10.6,1.2,2.2,0.538,0.1,0.5,0.138,1.1,1.7,0.65,0.8,1.1,0.731,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3,"NBA"
"Javonte Green",1815677,"F","SF",29,"CHI",32,1,15,1.9,3.4,0.565,0.4,1.1,0.371,1.5,2.3,0.658,0.9,1.4,0.667,0.8,1.9,2.8,0.7,0.8,0.7,0.6,1.6,5.2,"NBA"
"Gabe Vincent",1815677,"G","PG",26,"MIA",68,34,25.9,3.4,8.3,0.402,1.7,5.1,0.334,1.6,3.2,0.512,1,1.1,0.872,0.4,1.7,2.1,2.5,0.9,0.1,1.4,2.3,9.4,"NBA"
"Max Strus",1815677,"F","SF",26,"MIA",80,33,28.4,4.1,9.9,0.41,2.5,7,0.35,1.6,2.8,0.559,1,1.1,0.876,0.6,2.6,3.2,2.1,0.5,0.2,0.9,2.1,11.5,"NBA"
"Nick Richards",1782621,"C","C",25,"CHO",65,9,18.7,3,4.8,0.629,0,0,1,3,4.8,0.628,2.1,2.8,0.749,2.3,4.1,6.4,0.6,0.2,1.1,0.9,2.4,8.2,"NBA"
"Lamar Stevens",1782621,"F","SF",25,"CLE",62,25,18.1,2.1,4.6,0.448,0.5,1.5,0.316,1.6,3.1,0.513,0.6,0.9,0.702,0.8,2.6,3.3,0.5,0.4,0.3,0.4,1.3,5.3,"NBA"
"Naji Marshall",1782621,"F","SF",25,"NOP",77,21,23.3,3.2,7.4,0.433,0.9,2.8,0.303,2.4,4.6,0.513,1.8,2.3,0.789,0.6,3,3.6,2.5,0.7,0.2,1.3,1.5,9.1,"NBA"
"Paul Reed",1782621,"C","C",23,"PHI",69,2,10.9,1.8,3,0.593,0,0.1,0.167,1.8,2.9,0.606,0.6,0.7,0.745,1.6,2.2,3.8,0.4,0.7,0.7,0.7,1.8,4.2,"NBA"
"Tre Jones",1782621,"G","PG",23,"SAS",68,65,29.2,5,10.9,0.459,0.7,2.3,0.285,4.4,8.6,0.506,2.2,2.5,0.86,0.8,2.8,3.6,6.6,1.3,0.1,1.6,1.4,12.9,"NBA"
