PLAYER,2022 SALARY,2022 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Jasmine Thomas,"$190,000",UFA,5,5,21.8,6.6,1.6,6,26.70%,0.6,3.4,17.60%,1,2.6,38.50%,2.4,2.6,92.30%,0.4,1.8,2.2,3,1.4,0.6,0.2,1.4
Kristy Wallace,"$63,389",Rookie,29,18,20.8,6.6,2.3,5.6,40.70%,1.4,3.2,43.60%,0.9,2.3,36.80%,1.1,1.4,78.60%,0.6,1.7,2.3,2.2,1.5,0.6,0.2,2
Tiffany Mitchell,"$148,400",--,34,8,16.3,6.5,2.4,5.4,45.10%,2.1,4.4,46.40%,0.4,0.9,38.70%,1.3,1.5,86.50%,0.6,0.6,1.2,1.2,0.9,0.8,0.1,1.4
Sami Whitcomb,"$150,350",RFA,35,6,21.3,6.5,2.1,5.7,36.80%,0.4,0.9,45.50%,1.7,4.8,35.10%,0.6,0.7,87.00%,0.3,2.1,2.3,2.3,1.4,0.7,0.1,1.6
Monique Billings,"$140,000",RFA,23,8,17.4,6.5,2.4,5.1,47.00%,2.4,5,47.40%,0,0,0.00%,1.7,2.2,76.50%,2,4.4,6.3,1.1,1.3,0.8,0.3,2.3
Nia Coffey,"$130,000",UFA,16,16,21,6.4,2.2,6.3,34.70%,1.6,4.4,37.10%,0.6,1.9,29.00%,1.4,1.9,74.20%,0.4,4.8,5.2,0.8,2.2,0.6,0.1,2.2
Angel McCoughtry,"$69,000",UFA,2,2,9.9,6,1.5,4,37.50%,1.5,3.5,42.90%,0,0.5,0.00%,3,3,100.00%,0,3,3,1,1.5,0.5,1,1.5
Katie Benzan,"$3,592",Hardship,3,0,8.9,6,1.7,3,55.60%,0,0.7,0.00%,1.7,2.3,71.40%,1,1.3,75.00%,0.3,0.3,0.7,0.3,0.7,0,0.3,2.3
Nikolina Milic,"$31,882",Hardship,31,4,11.7,6,2.4,4.4,54.80%,2.2,3.6,60.20%,0.2,0.7,27.30%,1,1.4,73.80%,1.5,1.5,3,0.7,1.4,0.3,0.3,1.8
Nikolina Milic,"$10,477",UFA,31,4,11.7,6,2.4,4.4,54.80%,2.2,3.6,60.20%,0.2,0.7,27.30%,1,1.4,73.80%,1.5,1.5,3,0.7,1.4,0.3,0.3,1.8
