"","year","langcode","language","total","percent","rankinyear"
"290",2018,50,"Vietnamese",69346,0.00686332641418659,9
"291",2018,51,"Other East/Southeast Asian",24833,0.00245777672603316,16
"292",2018,52,"Indonesian",11647,0.00115272925253123,22
"293",2018,53,"Other Malayan",790,7.81880406542181e-05,44
"294",2018,54,"Filipino, Tagalog",236587,0.0234155366762779,4
"295",2018,55,"Micronesian, Polynesian",6094,0.000603136607274437,26
"296",2018,56,"Hawaiian",195,1.92995796551551e-05,54
"297",2018,57,"Arabic",45150,0.0044685949816936,12
"298",2018,58,"Near East Arabic dialect",2682,0.000265443449410903,37
"299",2018,59,"Hebrew, Israeli",25888,0.00256219240057772,15
"300",2018,60,"Amharic, Ethiopian, etc.",6969,0.000689737285214236,24
"301",2018,61,"Hamitic",55,5.44347118478734e-06,56
"302",2018,62,"Other Afro-Asiatic languages",1282,0.000126882364707225,40
"303",2018,63,"Sub-Saharan Africa",15908,0.00157444981104721,20
"304",2018,75,"Navajo",220,2.17738847391494e-05,53
"305",2018,89,"Aztecan, Nahuatl, Uto-Aztecan",491,4.8595351849647e-05,49
"306",2018,94,"Native",3405,0.000337000352440016,35
"307",2018,96,"Other or not reported",881,8.71945111599572e-05,43
